date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:05	618/618	---M--	200	added ('OK')	image/png	etag:%2226a-5a42f87b21da8%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/search-icon.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/search-icon.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:05	58/58	---M--	200	added ('OK')	image/gif	etag:%223a-5a42f87b22190%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/tipsy.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/tipsy.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:05	331/331	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:08%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/cal_bkg.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/cal_bkg.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:05	334/334	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:08%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/cal_single.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/cal_single.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:06	335/335	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:08%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/cal_single2.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/cal_single2.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:06	340/340	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:09%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/cal_single_today.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/cal_single_today.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:06	331/331	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:09%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/cal_pad.gif	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/cal_pad.gif	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:06	127/127	---M--	200	added ('OK')	image/png	etag:%227f-5a42f87b21da8%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/responsive_arrow.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/responsive_arrow.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:07	341/341	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:09%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/images/sidebar_hover.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/css/images/sidebar_hover.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:07	2103/2103	---M--	200	added ('OK')	image/png	etag:%22837-5a42f87b20e08%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/bg-slider-land.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/bg-slider-land.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:07	1/1	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20May%202020%2010:06:10%20GMT	http://192.168.43.61:8081/?p=41	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexcbb6.html	(from http://192.168.43.61:8081/?page_id=41)
15:36:07	2266/2266	---M--	200	added ('OK')	application/json	date:Sun,%2003%20May%202020%2010:06:10%20GMT	http://192.168.43.61:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F192.168.43.61%3A8081%2F%3Fpage_id%3D41	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexef49.json	(from http://192.168.43.61:8081/?page_id=41)
15:36:08	2347/2347	---M-Z	200	added ('OK')	text/xml	date:Sun,%2003%20May%202020%2010:06:10%20GMT	http://192.168.43.61:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F192.168.43.61%3A8081%2F%3Fpage_id%3D41&format=xml	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexd89d.php	(from http://192.168.43.61:8081/?page_id=41)
15:36:08	2275/2275	---M--	200	added ('OK')	application/json	date:Sun,%2003%20May%202020%2010:06:10%20GMT	http://192.168.43.61:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F192.168.43.61%3A8081%2F%3Fpage_id%3D49	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexf2f9.json	(from http://192.168.43.61:8081/?page_id=49)
